iter	Passed	Remaining
407	5489	7964
408	5501	7950
409	5514	7935
410	5528	7922
411	5541	7909
412	5556	7897
413	5570	7885
414	5585	7873
415	5598	7859
416	5612	7846
417	5627	7835
418	5642	7824
419	5657	7812
420	5671	7800
421	5686	7788
422	5701	7777
423	5715	7764
424	5730	7752
425	5745	7741
426	5760	7730
427	5774	7717
428	5789	7706
429	5805	7695
430	5818	7681
431	5834	7670
432	5848	7658
433	5864	7647
434	5879	7636
435	5894	7624
436	5908	7612
437	5922	7599
438	5937	7587
439	5951	7574
440	5965	7561
441	5980	7550
442	5996	7539
443	6010	7526
444	6025	7515
445	6041	7504
446	6056	7492
447	6071	7481
448	6086	7469
449	6101	7457
450	6116	7445
451	6131	7433
452	6145	7420
453	6160	7408
454	6176	7397
455	6191	7386
456	6208	7376
457	6222	7364
458	6238	7352
459	6253	7341
460	6268	7329
461	6283	7317
462	6297	7304
463	6311	7290
464	6326	7279
465	6342	7268
466	6358	7257
467	6373	7245
468	6388	7232
469	6402	7219
470	6416	7206
471	6430	7193
472	6442	7178
473	6458	7167
474	6473	7155
475	6488	7143
476	6502	7129
477	6515	7115
478	6529	7102
479	6542	7087
480	6556	7074
481	6569	7059
482	6583	7046
483	6597	7033
484	6611	7019
485	6623	7005
486	6636	6990
487	6649	6976
488	6664	6964
489	6680	6952
490	6696	6941
491	6711	6929
492	6725	6916
493	6739	6903
494	6754	6891
495	6768	6877
496	6783	6865
497	6798	6853
498	6814	6841
499	6829	6829
500	6845	6817
501	6858	6804
502	6873	6791
503	6889	6780
504	6905	6768
505	6920	6756
506	6935	6743
507	6950	6731
508	6966	6720
509	6983	6709
510	6998	6697
511	7013	6684
512	7026	6670
513	7041	6658
514	7056	6645
515	7071	6633
516	7086	6620
517	7101	6607
518	7116	6595
519	7130	6582
520	7144	6568
521	7159	6556
522	7175	6544
523	7190	6532
524	7204	6518
525	7220	6506
526	7235	6494
527	7251	6482
528	7263	6467
529	7277	6454
530	7292	6440
531	7306	6427
532	7320	6414
533	7334	6400
534	7347	6386
535	7360	6372
536	7374	6358
537	7388	6344
538	7400	6329
539	7412	6314
540	7425	6299
541	7437	6284
542	7449	6269
543	7464	6257
544	7476	6241
545	7489	6227
546	7501	6212
547	7515	6199
548	7528	6184
549	7540	6169
550	7554	6156
551	7567	6142
552	7580	6127
553	7593	6113
554	7606	6099
555	7618	6083
556	7630	6068
557	7643	6054
558	7655	6039
559	7669	6025
560	7682	6012
561	7694	5997
562	7706	5982
563	7719	5967
564	7731	5952
565	7744	5938
566	7757	5923
567	7769	5909
568	7782	5895
569	7794	5880
570	7809	5867
571	7822	5853
572	7835	5839
573	7850	5826
574	7864	5813
575	7878	5799
576	7894	5787
577	7911	5775
578	7926	5763
579	7941	5750
580	7957	5738
581	7971	5725
582	7988	5713
583	8003	5701
584	8016	5686
585	8033	5675
586	8045	5660
587	8059	5646
588	8071	5632
589	8083	5617
590	8096	5603
591	8110	5589
592	8124	5575
593	8138	5562
594	8149	5547
595	8163	5533
596	8177	5519
597	8190	5506
598	8204	5492
599	8217	5478
600	8229	5463
601	8243	5449
602	8255	5435
603	8269	5421
604	8281	5406
605	8294	5392
606	8305	5377
607	8319	5363
608	8333	5350
609	8345	5335
610	8363	5324
611	8376	5310
612	8390	5297
613	8405	5284
614	8417	5269
615	8431	5256
616	8446	5243
617	8459	5229
618	8473	5215
619	8486	5201
620	8501	5188
621	8513	5173
622	8526	5159
623	8539	5145
624	8552	5131
625	8566	5117
626	8580	5104
627	8592	5089
628	8605	5075
629	8617	5061
630	8630	5047
631	8643	5032
632	8656	5018
633	8669	5004
634	8682	4990
635	8695	4976
636	8707	4961
637	8720	4947
638	8732	4933
639	8745	4919
640	8758	4905
641	8770	4890
642	8783	4876
643	8796	4862
644	8809	4848
645	8821	4834
646	8833	4819
647	8845	4804
648	8857	4790
649	8869	4775
650	8882	4762
651	8897	4749
652	8910	4734
653	8923	4721
654	8936	4707
655	8949	4693
656	8961	4678
657	8974	4664
658	8987	4650
659	9001	4637
660	9013	4622
661	9025	4608
662	9039	4594
663	9051	4580
664	9064	4566
665	9076	4552
666	9090	4538
667	9102	4523
668	9114	4509
669	9126	4495
670	9141	4482
671	9154	4468
672	9166	4454
673	9179	4440
674	9193	4426
675	9207	4412
676	9221	4399
677	9234	4385
678	9247	4371
679	9259	4357
680	9271	4343
681	9283	4328
682	9297	4315
683	9309	4300
684	9322	4286
685	9334	4272
686	9346	4258
687	9359	4244
688	9370	4229
689	9382	4215
690	9394	4201
691	9408	4187
692	9420	4173
693	9431	4158
694	9442	4144
695	9456	4130
696	9469	4116
697	9483	4103
698	9496	4089
699	9508	4075
700	9520	4060
701	9532	4046
702	9544	4032
703	9556	4018
704	9568	4003
705	9581	3990
706	9593	3975
707	9605	3961
708	9618	3947
709	9631	3933
710	9644	3920
711	9656	3905
712	9669	3892
713	9680	3877
714	9694	3864
715	9707	3850
716	9719	3836
717	9730	3821
718	9742	3807
719	9754	3793
720	9767	3779
721	9780	3765
722	9792	3751
723	9806	3738
724	9819	3724
725	9835	3711
726	9849	3698
727	9863	3685
728	9877	3671
729	9891	3658
730	9904	3644
731	9917	3631
732	9931	3617
733	9945	3604
734	9959	3590
735	9973	3577
736	9988	3564
737	10004	3551
738	10016	3537
739	10029	3523
740	10041	3509
741	10054	3495
742	10067	3482
743	10079	3468
744	10091	3454
745	10104	3440
746	10116	3426
747	10128	3412
748	10140	3398
749	10152	3384
750	10165	3370
751	10178	3356
752	10190	3342
753	10203	3329
754	10215	3315
755	10228	3301
756	10243	3288
757	10254	3273
758	10268	3260
759	10280	3246
760	10291	3232
761	10305	3218
762	10317	3204
763	10328	3190
764	10340	3176
765	10352	3162
766	10365	3148
767	10379	3135
768	10394	3122
769	10410	3109
770	10423	3095
771	10437	3082
772	10451	3069
773	10464	3055
774	10477	3041
775	10492	3028
776	10504	3014
777	10517	3001
778	10532	2988
779	10545	2974
780	10560	2961
781	10573	2947
782	10587	2934
783	10602	2921
784	10615	2907
785	10629	2894
786	10643	2880
787	10658	2867
788	10674	2854
789	10688	2841
790	10702	2827
791	10716	2814
792	10729	2800
793	10741	2786
794	10756	2773
795	10769	2759
796	10783	2746
797	10796	2732
798	10809	2719
799	10824	2706
800	10840	2693
801	10854	2679
802	10868	2666
803	10884	2653
804	10900	2640
805	10915	2627
806	10930	2613
807	10944	2600
808	10960	2587
809	10976	2574
810	10992	2561
811	11009	2548
812	11023	2535
813	11039	2522
814	11053	2509
815	11067	2495
816	11082	2482
817	11097	2469
818	11112	2455
819	11127	2442
820	11142	2429
821	11157	2416
822	11172	2402
823	11187	2389
824	11199	2375
825	11215	2362
826	11229	2349
827	11243	2335
828	11258	2322
829	11272	2308
830	11287	2295
831	11301	2282
832	11316	2268
833	11330	2255
834	11345	2241
835	11361	2228
836	11376	2215
837	11391	2202
838	11407	2189
839	11422	2175
840	11435	2162
841	11449	2148
842	11463	2135
843	11477	2121
844	11492	2108
845	11507	2094
846	11521	2081
