iter	Logloss
0	0.6127382448
1	0.556968193
2	0.511220498
3	0.4771413013
4	0.4456645324
5	0.4253996262
6	0.4066763178
7	0.3937937972
8	0.383378204
9	0.3754363892
10	0.3675886409
11	0.3625547169
12	0.3573382014
13	0.353994964
14	0.3500428602
15	0.3468961298
16	0.3444947811
17	0.3425222593
18	0.3409707165
19	0.3395373777
20	0.3380650933
21	0.3368430359
22	0.3354857546
23	0.3346297362
24	0.3336166601
25	0.332572774
26	0.3317499158
27	0.3310287843
28	0.3302789517
29	0.3294615527
30	0.3288833565
31	0.3281212653
32	0.327609514
33	0.3269747637
34	0.3264577815
35	0.3258618373
36	0.3254089445
37	0.3249699421
38	0.3245262561
39	0.3242140592
40	0.3237637895
41	0.3232524323
42	0.3229715494
43	0.3226495922
44	0.3223330846
45	0.3219407887
46	0.3215372153
47	0.3211202589
48	0.3207790997
49	0.3204393194
50	0.3202171961
51	0.3199509777
52	0.3196836631
53	0.3193627116
54	0.3191762478
55	0.3188810918
56	0.3186792055
57	0.3182211677
58	0.3178987801
59	0.3176601863
60	0.3174094633
61	0.3170947315
62	0.3169313625
63	0.3166008877
64	0.3163829121
65	0.3160074914
66	0.3158139855
67	0.3155027473
68	0.3152710783
69	0.3149294842
70	0.3145808311
71	0.314398436
72	0.3141394613
73	0.3137700262
74	0.3133969995
75	0.3131332264
76	0.3129533277
77	0.3127311265
78	0.3123996517
79	0.31219706
80	0.3119924981
81	0.3117499325
82	0.3115875646
83	0.3113223991
84	0.3110375098
85	0.3108664478
86	0.31065232
87	0.3103454976
88	0.3100451961
89	0.3099097541
90	0.3097241951
91	0.3095935028
92	0.3093839943
93	0.3091943923
94	0.3089598428
95	0.3088182035
96	0.3087006236
97	0.30841598
98	0.3082125502
99	0.3080425356
100	0.307879311
101	0.3077579844
102	0.3075879667
103	0.3073160172
104	0.3071589579
105	0.3070091935
106	0.3067784824
107	0.3065736638
108	0.3064488601
109	0.3062809081
110	0.3060826223
111	0.3058521622
112	0.305559245
113	0.3054534884
114	0.3052324387
115	0.3050904782
116	0.3049319888
117	0.3046526857
118	0.3045209944
119	0.3043450138
120	0.3041988484
121	0.3040826582
122	0.3039208451
123	0.3037433709
124	0.303586224
125	0.3034094927
126	0.3032076096
127	0.3030432408
128	0.3028350607
129	0.3026149993
130	0.3023825223
131	0.3021575683
132	0.3020457962
133	0.3018287514
134	0.3015053293
135	0.3012919378
136	0.3011271945
137	0.3010459865
138	0.3007271796
139	0.3005910766
140	0.3004408386
141	0.300272603
142	0.3000637499
143	0.2998015864
144	0.29967818
145	0.2994365066
146	0.299301
147	0.2991520288
148	0.2990406353
149	0.2989009683
150	0.2987587789
151	0.2986472519
152	0.2984295902
153	0.2981944805
154	0.2980648982
155	0.2979487928
156	0.2977586846
157	0.2976289451
158	0.2974736032
159	0.2973541069
160	0.2971928497
161	0.2970865797
162	0.2969734648
163	0.2968138572
164	0.2966521806
165	0.2965128093
166	0.2964140996
167	0.2962660444
168	0.296156637
169	0.2960156963
170	0.2958807656
171	0.2956778249
172	0.2955840587
173	0.29535598
174	0.2952370772
175	0.295124826
176	0.2950265771
177	0.2948357886
178	0.2947182408
179	0.2945841867
180	0.2944964898
181	0.2943848609
182	0.2941787811
183	0.2939484237
184	0.2937679378
185	0.2935456285
186	0.2933492963
187	0.2932601555
188	0.2931332436
189	0.2929735151
190	0.2928763528
191	0.292716864
192	0.2926282317
193	0.2925538131
194	0.2924701797
195	0.292237973
196	0.2921152912
197	0.2919902461
198	0.2917953077
199	0.2916827859
200	0.291528696
201	0.2914206198
202	0.2911704227
203	0.2910026438
204	0.2908835799
205	0.2906960054
206	0.2905544922
207	0.2904547839
208	0.2902913237
209	0.2901765425
210	0.2900252972
211	0.2898250709
212	0.2897546315
213	0.2896485469
214	0.2895410078
215	0.2894588081
216	0.2893383727
217	0.2892530728
218	0.2891639224
219	0.2889517155
220	0.2888435728
221	0.2887400268
222	0.2885993731
223	0.2885145688
